,1,2,3,4,5,6,p_final,r71,r72,r73,r81,r82,r83,r84,r85,R71,R72,R73,R81,R82,R83,R84,R85,pR71,pR72,pR73,pR81,pR82,pR83,pR84,pR85
20,1.1,2.1,3.2,4.1,5.2,6.1,0.0005836069235458056,0.8812799999999998,6.44436,0.0,0.0,0.86184,0.48600000000000004,0.7464960000000004,1.0967039999999997,0.12030075187969923,0.8796992481203008,0.0,0.0,0.2700812274368231,0.1523014440433213,0.23393501805054162,0.34368231046931397,7.020835170475855e-05,0.000513398571841047,0.0,0.0,0.00015762127425187936,8.88841772097064e-05,0.0001365260961941091,0.00020057537589011071
21,1.1,2.1,3.2,4.1,5.2,6.2,0.0002809959261516841,0.4406399999999999,4.54896,0.0,0.0,0.9234,0.9720000000000001,2.052864000000001,1.1652479999999996,0.08831168831168829,0.9116883116883117,0.0,0.0,0.18058039171512652,0.19008462285802794,0.40145872347615513,0.22787626195069055,2.4815224647161705e-05,0.00025618070150452234,0.0,0.0,5.074235441482587e-05,5.3413004647185135e-05,0.00011280826581485504,6.403230127481805e-05
22,1.1,2.1,3.2,4.1,5.2,6.3,0.00038907128236387035,0.3427199999999999,0.7581599999999998,0.0,0.0,0.9849600000000001,1.0692000000000002,2.239488000000001,0.6854399999999998,0.3113145846958797,0.6886854153041204,0.0,0.0,0.1978193596899673,0.21473812071608295,0.44977875466350475,0.13766376493044505,0.00012112356468620163,0.00026794771767766875,0.0,0.0,7.696583195097531e-05,8.354843599941399e-05,0.00017499599685695443,5.356101755652666e-05
23,1.1,2.1,3.2,4.1,5.2,6.4,2.0750468392739745e-05,0.29375999999999997,0.7581599999999998,0.0,0.0,0.6156,1.3608,3.3592320000000013,0.4112639999999999,0.27926078028747436,0.7207392197125256,0.0,0.0,0.10711869503119595,0.2367886942794858,0.5845298053070737,0.07156280538224458,5.794791994687075e-06,1.495567639805267e-05,0.0,0.0,2.2227630955163595e-06,4.913476316404584e-06,1.2129267249638749e-05,1.4849617311800518e-06
24,1.1,2.1,3.2,4.2,5.1,6.1,8.646028496974895e-05,1.9699200000000001,0.7160399999999998,0.0,0.2808,2.5855199999999994,3.4019999999999997,0.16588800000000004,0.182784,0.7334137515078409,0.2665862484921592,0.0,0.042436200618045185,0.3907394779984621,0.5141308921032397,0.025070001595891313,0.027623427684361723,6.341116195610057e-05,2.304912301364839e-05,0.0,3.669045998469623e-06,3.3783446616677985e-05,4.445190344299735e-05,2.167559482172824e-06,2.388329429431167e-06
25,1.1,2.1,3.2,4.2,5.1,6.2,0.00030261099739412137,0.9849600000000001,0.5054399999999999,0.0,0.26208,2.7701999999999996,6.803999999999999,0.4561920000000001,0.194208,0.6608695652173914,0.3391304347826086,0.0,0.024991703761342965,0.26416368192793144,0.6488230784194807,0.04350204259117282,0.018519493300072094,0.00019998639827785414,0.00010262459911626723,0.0,7.56276440179841e-06,7.993883526351477e-05,0.00019634099889284328,1.3164196497196354e-05,5.604202338768565e-06
26,1.1,2.1,3.2,4.2,5.1,6.3,0.0006916822797579918,0.76608,0.08423999999999997,0.0,0.24336000000000002,2.9548799999999997,7.4844,0.497664,0.11424,0.9009314140558848,0.09906858594411512,0.0,0.021546686612580378,0.261620123840325,0.6626562347271391,0.04406233664679158,0.010114618173163963,0.0006231582943797657,6.85239853782261e-05,0.0,1.4903461317420598e-05,0.00018095800368844416,0.00045834757513191454,3.047713746331691e-05,6.996102156895664e-06
27,1.1,2.1,3.2,4.2,5.1,6.4,0.00013833645595159836,0.65664,0.08423999999999997,0.0,0.14976,1.8467999999999998,9.525599999999999,0.746496,0.068544,0.8862973760932945,0.1137026239067055,0.0,0.012138896994455793,0.14969360957105338,0.7721038809454333,0.0605077327108258,0.00555587977823169,0.00012260723792794726,1.572921802365112e-05,0.0,1.6792519893745236e-06,2.0708083426661787e-05,0.00010681011451646607,8.370425300882241e-06,7.685807182137242e-07
28,1.1,2.1,3.2,4.2,5.2,6.1,0.000972678205909676,8.372160000000001,6.44436,0.0,1.5444000000000004,2.5855199999999994,0.6804,0.08294400000000002,0.8529919999999998,0.5650557620817844,0.43494423791821557,0.0,0.26876630626968245,0.44994862741931435,0.11840753353139853,0.014434442182875254,0.1484430905967294,0.0005496174249006348,0.0004230607810090412,0.0,0.0002614231285913652,0.0004376552236697399,0.00011517242728151052,1.4040067325746048e-05,0.00014438735904131423
29,1.1,2.1,3.2,4.2,5.2,6.2,0.00042149388922752614,4.1860800000000005,4.54896,0.0,1.4414400000000003,2.7701999999999996,1.3608,0.22809600000000005,0.9063039999999997,0.4792284866468842,0.5207715133531157,0.0,0.21492088673652573,0.4130410148445467,0.20289734062539141,0.03400945900006561,0.1351312987934705,0.00020199187866541682,0.0002195020105621093,0.0,9.058784042680687e-05,0.00017409426375731234,8.551998921411837e-05,1.4334779144461747e-05,5.695701668482679e-05
30,1.1,2.1,3.2,4.2,5.2,6.3,0.0005836069235458056,3.25584,0.7581599999999998,0.0,1.3384800000000003,2.9548799999999997,1.4968800000000002,0.248832,0.5331199999999998,0.8111210762331839,0.1888789237668161,0.0,0.203658079374431,0.4496034199852956,0.22775962722939322,0.03786134063034069,0.08111753278053956,0.00047337587592361126,0.00011023104762219427,0.0,0.00011885626515895915,0.00026239166875329114,0.00013292209535528565,2.209614052659294e-05,4.7340753751676726e-05
31,1.1,2.1,3.2,4.2,5.2,6.4,2.5938085490924677e-05,2.79072,0.7581599999999998,0.0,0.8236800000000003,1.8467999999999998,1.90512,0.373248,0.3198719999999999,0.7863664029214852,0.2136335970785149,0.0,0.1563339862433381,0.3505215688060857,0.36159067097890946,0.07084225390607207,0.06071152006559465,2.0396838986168404e-05,5.541246504756276e-06,0.0,4.055004300316746e-06,9.091858418105287e-06,9.37896973657177e-06,1.83751243818549e-06,1.574740597745383e-06
32,1.1,2.1,3.3,4.1,5.1,6.1,2.4965407285015e-05,0.20736,0.7955999999999998,0.0,0.0,0.9576,1.8899999999999997,1.1612160000000002,0.8225280000000001,0.20674802584350324,0.7932519741564966,0.0,0.0,0.19820571667014394,0.3911954934279156,0.24035051116211142,0.17024827873982892,5.161548670555865e-06,1.980385861445913e-05,0.0,0.0,4.94828644288843e-06,9.76635482149032e-06,6.000448402323655e-06,4.250317618312589e-06
33,1.1,2.1,3.3,4.1,5.1,6.2,9.708769499728058e-05,0.10368,0.5615999999999998,0.0,0.0,1.026,3.7799999999999994,3.1933440000000006,0.8739360000000002,0.1558441558441559,0.8441558441558441,0.0,0.0,0.11562804284323273,0.425998052580331,0.35988315481986377,0.09849074975657257,1.5130549869706069e-05,8.195714512757451e-05,0.0,0.0,1.1226060156696272e-05,4.135916899835467e-05,3.494022596981004e-05,9.562239872419604e-06
34,1.1,2.1,3.3,4.1,5.1,6.3,0.0002219147314223556,0.08063999999999999,0.09359999999999995,0.0,0.0,1.0944,4.1579999999999995,3.483648,0.5140800000000001,0.46280991735537197,0.537190082644628,0.0,0.0,0.11831187633295454,0.4495072933044818,0.3766053831903732,0.05557544717219049,0.00010270433850951996,0.00011921039291283563,0.0,0.0,2.6255148260502557e-05,9.97522902660541e-05,8.357428246290498e-05,1.2333010432893965e-05
35,1.1,2.1,3.3,4.1,5.1,6.4,5.325953554136536e-05,0.06912,0.09359999999999995,0.0,0.0,0.684,5.291999999999999,5.225472000000001,0.30844800000000006,0.42477876106194706,0.575221238938053,0.0,0.0,0.05942699862379583,0.45977730514199916,0.4539972475916428,0.02679844864256225,2.2623519521995915e-05,3.063601601936945e-05,0.0,0.0,3.1650543453207247e-06,2.448752572432349e-05,2.417968254378915e-05,1.4272729279319984e-06
36,1.1,2.1,3.3,4.1,5.2,6.1,0.0002553280290512898,0.8812799999999998,7.160399999999999,0.0,0.0,0.9576,0.378,0.5806080000000001,3.838464,0.1095890410958904,0.8904109589041096,0.0,0.0,0.16640392362935716,0.06568575932737782,0.10089332632685236,0.6670169907164126,2.7981153868634494e-05,0.00022734687518265528,0.0,0.0,4.248758584668511e-05,1.677141546579675e-05,2.5760894155463817e-05,0.00017030813358334408
37,1.1,2.1,3.3,4.1,5.2,6.2,0.00012293571769136176,0.4406399999999999,5.054399999999999,0.0,0.0,1.026,0.756,1.5966720000000003,4.078367999999999,0.08018867924528301,0.9198113207547169,0.0,0.0,0.13758810466351262,0.10138070869943035,0.21411605677319692,0.5469151298638601,9.858052833741272e-06,0.00011307766485762048,0.0,0.0,1.6914492392603122e-05,1.2463310184023353e-05,2.6322511108657323e-05,6.723540400607797e-05
38,1.1,2.1,3.3,4.1,5.2,6.3,0.00017021868603419321,0.3427199999999999,0.8423999999999998,0.0,0.0,1.0944,0.8316000000000001,1.741824,2.39904,0.2891859052247874,0.7108140947752126,0.0,0.0,0.18038973677339726,0.13707246445610122,0.28710450736987014,0.39543329140063127,4.922484480697204e-05,0.00012099384122722118,0.0,0.0,3.070570396762167e-05,2.3332294791186202e-05,4.887055199899364e-05,6.73101352763917e-05
39,1.1,2.1,3.3,4.1,5.2,6.4,9.078329921823637e-06,0.29375999999999997,0.8423999999999998,0.0,0.0,0.684,1.0584,2.6127360000000004,1.4394239999999998,0.2585551330798479,0.741444866920152,0.0,0.0,0.11804174950298212,0.1826540755467197,0.4508946322067595,0.24840954274353874,2.3472488010798757e-06,6.731081120743761e-06,0.0,0.0,1.071621946537333e-06,1.6581939593788205e-06,4.093370231152289e-06,2.2551437847551958e-06
40,1.1,2.1,3.3,4.2,5.1,6.1,3.7826374674265144e-05,1.9699200000000001,0.7955999999999998,0.0,0.2808,2.8728,2.6459999999999995,0.129024,0.639744,0.7123145014319188,0.2876854985680811,0.0,0.04275034529125043,0.4373689172104851,0.402839792167552,0.019643235579979684,0.09739770975073259,2.6944275217076134e-05,1.0882099457189006e-05,0.0,1.6170905784410455e-06,1.6544080533281462e-05,1.5237968912232923e-05,7.430323888631675e-07,3.6842022614465383e-06
41,1.1,2.1,3.3,4.2,5.1,6.2,0.00013239231135992802,0.9849600000000001,0.5615999999999998,0.0,0.26208,3.0780000000000003,5.291999999999999,0.354816,0.6797279999999999,0.6368715083798884,0.36312849162011157,0.0,0.027111843804000238,0.31841519852225564,0.5474506921961586,0.03670526545772341,0.07031700001986216,8.43168910336972e-05,4.807542032623083e-05,0.0,3.589399666440935e-06,4.215572410449176e-05,7.247826249544195e-05,4.8594949330277284e-06,9.309430160525655e-06
42,1.1,2.1,3.3,4.2,5.1,6.3,0.00030261099739412126,0.76608,0.09359999999999995,0.0,0.24336000000000002,3.2832000000000003,5.821199999999999,0.387072,0.39984,0.8911222780569515,0.10887772194304852,0.0,0.02401261728055926,0.32395720354837343,0.574384647080833,0.038192849260439816,0.0394526828297946,0.00026966340136293557,3.294759603118572e-05,0.0,7.266482065313349e-06,9.803301247878365e-05,0.00017381511094100122,1.1557576208025019e-05,1.1938815700998066e-05
43,1.1,2.1,3.3,4.2,5.1,6.4,6.052219947882426e-05,0.65664,0.09359999999999995,0.0,0.14976,2.052,7.408799999999998,0.580608,0.23990399999999998,0.8752399232245682,0.12476007677543181,0.0,0.014357105386675506,0.19671995361550573,0.7102625693696678,0.055661393191418884,0.02299897843673211,5.297144522522815e-05,7.550754253596114e-06,0.0,8.689235961508773e-07,1.1905924274182694e-05,4.298665290573329e-05,3.368749942000324e-06,1.3919487607570785e-06
44,1.1,2.1,3.3,4.2,5.2,6.1,0.0004255467150854829,8.372160000000001,7.160399999999999,0.0,1.5444000000000004,2.8728,0.5292,0.064512,2.9854719999999997,0.5390070921985816,0.4609929078014184,0.0,0.1931372980587226,0.3592623865987426,0.06617991332082102,0.008067646576252465,0.3733527554454613,0.0002293726974928844,0.0001961740175925985,0.0,8.218894274937522e-05,0.00015288292847086572,2.8162644718317377e-05,3.4331604989948797e-06,0.0001588790386479297
45,1.1,2.1,3.3,4.2,5.2,6.2,0.0001844035765370426,4.1860800000000005,5.054399999999999,0.0,1.4414400000000003,3.0780000000000003,1.0584,0.177408,3.1720639999999993,0.45301542776998605,0.546984572230014,0.0,0.16146405547380896,0.3447846339413253,0.11855752324999957,0.019872499135238024,0.35532128819962827,8.353766510724372e-05,0.00010086591142979889,0.0,2.9774549311545825e-05,6.357951963379539e-05,2.1862431312673506e-05,3.664559915267178e-06,6.552251636376072e-05
46,1.1,2.1,3.3,4.2,5.2,6.3,0.0002553280290512898,3.25584,0.8423999999999998,0.0,1.3384800000000003,3.2832000000000003,1.1642400000000002,0.193536,1.8659199999999996,0.7944483485593816,0.20555165144061838,0.0,0.17060750179468778,0.41848854662925017,0.14839824120603018,0.024668798538145274,0.23783691183188665,0.00020284493102071897,5.24830980305708e-05,0.0,4.3560877174602014e-05,0.00010685185579138522,3.789023044181358e-05,6.298635709807971e-06,6.0726429933681004e-05
47,1.1,2.1,3.3,4.2,5.2,6.4,1.1347912402279545e-05,2.79072,0.8423999999999998,0.0,0.8236800000000003,2.052,1.48176,0.290304,1.1195519999999997,0.7681331747919143,0.23186682520808558,0.0,0.14281909581197155,0.3557993208602437,0.2569245622211865,0.050336240761701845,0.1941207803448964,8.716707980823526e-06,2.6312044214560177e-06,0.0,1.6206985886470226e-06,4.037579525912599e-06,2.9155574260800446e-06,5.712112508238455e-07,2.2028656108160333e-06
48,1.1,2.2,3.1,4.1,5.1,6.1,0.00010699460265006433,0.20736,0.7293,0.0,0.0,1.1703999999999999,1.6830000000000003,0.8087040000000001,2.643840000000001,0.2213823585932996,0.7786176414067004,0.0,0.0,0.1856026631381439,0.2668910475576694,0.12824471641359325,0.41926157289059346,2.3686717491424146e-05,8.330788515864019e-05,0.0,0.0,1.9858483193259447e-05,2.855590158429226e-05,1.3721492474642593e-05,4.485872539787003e-05
49,1.1,2.2,3.1,4.1,5.1,6.2,0.0004160901214169169,0.10368,0.5147999999999999,0.0,0.0,1.254,3.3660000000000005,2.223936,2.8090800000000002,0.16763678696158324,0.8323632130384168,0.0,0.0,0.12990758535985023,0.34869930807117694,0.23038768401502702,0.29100542255394585,6.975201104078701e-05,0.0003463381103761299,0.0,0.0,5.405326296535858e-05,0.00014509033743333093,9.586203941477488e-05,0.00012108448160345255
50,1.1,2.2,3.1,4.1,5.1,6.3,0.0009510631346672388,0.08063999999999999,0.08579999999999997,0.0,0.0,1.3376000000000001,3.702600000000001,2.426112,1.6524000000000003,0.48449891852919974,0.5155010814708002,0.0,0.0,0.14668738304269288,0.406044186942191,0.2660586275781053,0.18120980243701088,0.00046078906019926785,0.0004902740744679709,0.0,0.0,0.00013950896233271747,0.0003861736572466505,0.0002530385523496963,0.00017234196273817462
51,1.1,2.2,3.1,4.1,5.1,6.4,0.0002282551523201373,0.06912,0.08579999999999997,0.0,0.0,0.836,4.712400000000001,3.639168,0.9914400000000001,0.4461657629744385,0.5538342370255614,0.0,0.0,0.08212981068489188,0.4629527749658906,0.3575169603953548,0.0974004539538627,0.00010183963418776072,0.00012641551813237655,0.0,0.0,1.8746552447904033e-05,0.0001056713561668696,8.16050882520742e-05,2.223215545328945e-05
